iter	Passed	Remaining
0	275	165294
1	380	113782
2	493	98114
3	595	88802
4	758	90253
5	860	85207
6	991	84007
7	1104	81761
8	1238	81323
9	1363	80445
10	1482	79403
11	1596	78225
12	1697	76635
13	1798	75297
14	1911	74546
15	2028	74023
16	2137	73311
17	2247	72670
18	2364	72290
19	2504	72620
20	2605	71843
21	2702	71009
22	2802	70309
23	2915	69976
24	3067	70544
25	3185	70331
26	3317	70404
27	3470	70891
28	3599	70869
29	3709	70487
30	3904	71671
31	4078	72388
32	4190	71999
33	4297	71539
34	4417	71306
35	4559	71431
36	4671	71085
37	4799	70979
38	4918	70757
39	5117	71650
40	5240	71453
41	5350	71082
42	5474	70915
43	5644	71322
44	5769	71162
45	5877	70787
46	5985	70421
47	6108	70250
48	6260	70403
49	6419	70610
50	6576	70794
51	6736	70991
52	6857	70777
53	7019	70978
54	7168	71037
55	7297	70889
56	7409	70584
57	7519	70267
58	7614	69821
59	7715	69436
60	7822	69117
61	7932	68837
62	8040	68533
63	8143	68198
64	8251	67914
65	8360	67641
66	8470	67383
67	8573	67078
68	8682	66816
69	8806	66678
70	8921	66469
71	9025	66187
72	9150	66061
73	9249	65744
74	9349	65445
75	9478	65352
76	9587	65122
77	9797	65570
78	10028	66137
79	10159	66034
80	10294	65963
81	10419	65820
82	10530	65592
83	10659	65479
84	10779	65311
85	10894	65113
86	11012	64935
87	11115	64670
88	11224	64446
89	11339	64255
90	11448	64033
91	11553	63794
92	11656	63544
93	11797	63505
94	11928	63407
95	12028	63148
96	12129	62899
97	12235	62678
98	12348	62489
99	12464	62320
100	12588	62196
101	12703	62022
102	12819	61857
103	12938	61706
104	13095	61735
105	13226	61641
106	13366	61586
107	13481	61416
108	13590	61220
109	13711	61076
110	13806	60822
111	13920	60653
112	14055	60574
113	14169	60404
114	14287	60255
115	14383	60012
116	14505	59880
117	14793	60427
118	14903	60239
119	14995	59980
120	15100	59778
121	15216	59619
122	15318	59407
123	15435	59251
124	15551	59096
125	15671	58953
126	15779	58768
127	15889	58593
128	15991	58389
129	16095	58190
130	16200	57999
131	16317	57854
132	16417	57645
133	16522	57459
134	16624	57260
135	16759	57178
136	16877	57036
137	16977	56837
138	17073	56625
139	17190	56482
140	17309	56347
141	17444	56265
142	17569	56150
143	17672	55964
144	17792	55830
145	17914	55707
146	18024	55543
147	18145	55418
148	18280	55332
149	18407	55221
150	18524	55082
151	18649	54966
152	18760	54810
153	18871	54654
154	19012	54584
155	19117	54410
156	19231	54263
157	19330	54077
158	19441	53921
159	19565	53803
160	19666	53625
161	19776	53468
162	19882	53305
163	19993	53152
164	20090	52966
165	20192	52793
166	20297	52628
167	20420	52510
